target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
WASH6P	0.1796923660505333	0.9998704121877456	0.5415017407988878	0.4035929006991245	10.530822004883827	0.35677986403856893	0.002747895723862946	0.31531317861161134	0.475054644127355	0.475054644127355
LDHAP2	0.990793035302547	0.9998704121877456	-0.006396911051648509	0.554350262074354	6.831790257270982	0.43516352443897965	0.022943664362234505	0.44568474400423536	0.8784820272860202	0.8784820272860202
ZNF285B	0.34276015401337173	0.9998704121877456	-0.6860155800718326	0.723091617306301	2.674318557134883	0.580912731547012	0.3172208371361121	0.20218690171730153	1.2165061914519049	1.2165061914519049
TIMP4	0.6368027363368909	0.9998704121877456	0.5016947876438062	1.0625214350638519	4.631789300177762	3.127786317241328	0.15573760151366314	3.155854345065436	1.3792007355637306	3.155854345065436
MREG	0.744760757758022	0.9998704121877456	-0.1963199861609943	0.6030309546587732	6.281346835255323	0.9349741428202456	0.032668969694820756	0.9655297091038277	1.0340269383167486	1.0340269383167486
PPP3R1	0.5918569772063393	0.9998704121877456	-0.27088819412658544	0.5052498792808765	9.61927975077671	0.7107020675104085	0.004178581510408841	0.7446352439953894	0.4733514578714626	0.7446352439953894
GTF3C2	0.8267414749611263	0.9998704121877456	-0.09004181265665966	0.41137029118656715	9.117298919595019	0.09117700675227582	0.005224514224542143	0.0911367174924425	0.49117033409015964	0.49117033409015964
RAB19	0.9599473367019097	0.9998704121877456	-0.045236532005776535	0.9007731779256878	5.752289490378516	2.2105068812603053	0.0849822523466271	2.2951018806597117	1.1952260020669863	2.2951018806597117
TCFL5	0.8486632632816835	0.9998704121877456	-0.09073826853072005	0.4755069279815944	7.68736037133884	0.3019944502145836	0.01300568680761829	0.3103613053796671	0.6502410396306285	0.6502410396306285
NEK8	0.8416848463336898	0.9998704121877456	-0.10699360880928958	0.535667554558848	7.017941061911294	0.17992123025317738	0.01944641352737538	0.1717318558614538	0.8222434582266566	0.8222434582266566
FAM86B1	0.826517748315524	0.9998704121877456	-0.15783516113142476	0.7201500030330196	8.160707241337821	1.4178309173556674	0.018785751263153256	1.5024879275509906	0.5757879942998749	1.5024879275509906
GART	0.2506535387410476	0.9998704121877456	-0.5949368973780333	0.5178933076250121	10.294382501793988	0.8047233599298425	0.004750667365409307	0.7820088683440652	0.4716881563579954	0.7820088683440652
AP000354.4	0.6265723239852056	0.9998704121877456	-0.3585929142431576	0.7370008792140312	3.9948216095793376	1.3215844770227159	0.198355626527239	1.1958742685310833	1.394943908295376	1.394943908295376
ZNF620	0.8426176727394203	0.9998704121877456	0.11445878664285296	0.576484142098269	6.743182970786862	0.5175965471329844	0.07111135811180956	0.4833442269598699	0.9037349424211369	0.9037349424211369
TLK1	0.8258163381356303	0.9998704121877456	0.11413285718590789	0.5186197896165413	12.899128418620524	0.7353427985523076	0.0020181697434340767	0.7869501897234891	0.5808286632884857	0.7869501897234891
RMDN1	0.7211273686226768	0.9998704121877456	-0.15286636902481027	0.4282540972759091	8.5762221444579	0.20231013398921655	0.00928141102481465	0.2033182328698879	0.5286965330204233	0.5286965330204233
WASF3	0.41168381039397295	0.9998704121877456	-0.45785185482740565	0.5577206001341487	8.231791405807835	0.8911692538677959	0.06791200671585529	0.8445079788718635	0.5663614490527242	0.8445079788718635
IGHV3-53	0.2284514680961007	0.9998704121877456	2.7204685850687103	2.2588548672197235	7.601504663901553	15.448709753181003	0.029839009196423006	14.937275236879465	0.6660152475844758	14.937275236879465
PDCL3P5	0.5267387863648534	0.9998704121877456	-0.4151123903324096	0.655793926519941	5.686284440541425	0.3687128920861412	0.04853030018075106	0.309663044882635	1.2129956770632115	1.2129956770632115
RP1-99E18.2	0.2578848699516832	0.9998704121877456	-0.8170177175006139	0.7221269697076532	4.332649568098565	0.8145441581491626	0.13385954835850372	0.5927224176932293	1.395778042087026	1.395778042087026
IGHV1-58	0.2160166073883801	0.9998704121877456	2.3470168786437693	1.8970547416692385	4.30191940154621	10.956650620919223	0.06245362397066623	10.494075341839242	1.3965881684492436	10.494075341839242
C5orf56	0.26280481093697067	0.9998704121877456	0.5612878211769359	0.5012454505694236	7.516896008469918	0.7503581989653886	0.01668189677934044	0.7203093082558569	0.6838707185717837	0.7203093082558569
TIPARP	0.7276034068895292	0.9998704121877456	-0.14504474282779023	0.4164179524710474	10.21169129772934	0.47672718180357054	0.0025109979095686904	0.5061404747682912	0.4708587635511217	0.5061404747682912
RP11-533E19.3	0.7394785480909649	0.9998704121877456	-0.19948298829215094	0.5998695204621394	6.324961200988354	0.6665059750799631	0.034892020473592245	0.6739046072782116	1.0206487414928738	1.0206487414928738
UBE2B	0.7294206966601842	0.9998704121877456	-0.13971653370726042	0.40392614524148535	9.808810895250373	0.39124249068144096	0.007893678146064205	0.40903971576312065	0.4706982255622294	0.4706982255622294
PLEKHA6	0.22177735135372087	0.9998704121877456	-1.0719636982732004	0.8773530637332223	7.301712993918864	2.337413120986426	0.07379393556114161	2.1841346998689355	0.7382037761728126	2.1841346998689355
FAM179A	0.2927316409194622	0.9998704121877456	1.0533998473671158	1.001189777190527	6.043209716583112	2.9627931871567714	0.07100210514982783	2.8693154067059017	1.108439436419345	2.8693154067059017
ELOVL1	0.41197352278849375	0.9998704121877456	0.3291464220136351	0.401189845071637	10.064495241597196	0.34665654254904704	0.0021318393073578314	0.3467452364968844	0.46999781660588086	0.46999781660588086
PHKA1P1	0.7070074494324683	0.9998704121877456	-0.17717761061106532	0.4713697456480583	7.788178659568408	0.2507364677682117	0.01883139915413717	0.2441091874122383	0.6329242830419873	0.6329242830419873
RP11-52I18.1	0.7129957585511827	0.9998704121877456	-0.27423624985330397	0.7455400896452308	2.6940247581868655	1.0892474573902042	0.40949341481581986	0.7465728576952795	1.2209413259709554	1.2209413259709554
LCORL	0.6453715342627224	0.9998704121877456	0.21574014965467986	0.46879488737676317	7.84469265677649	0.080691112071921825	0.021136508639829958	0.05525941853704467	0.6235181875565734	0.6235181875565734
RP1-292B18.1	0.5634822126479038	0.9998704121877456	-0.3975053498809687	0.6881100552136901	5.081869783195415	0.34658537271566564	0.06118362156472666	0.2764085124362696	1.3277363594880904	1.3277363594880904
FTH1P1	0.5021590774021927	0.9998704121877456	-0.4756065880953783	0.7087007775642926	4.7991244215415945	0.9096977816470221	0.10978070090174318	0.8188534661430086	1.363505889317607	1.363505889317607
POM121L9P	0.8959191977659484	0.9998704121877456	-0.10679795505015362	0.8163851049016098	7.318500521184199	1.8177669958948042	0.023573751953855925	1.9314478572614338	0.7335793219036314	1.9314478572614338
AL844213.6	0.6744172351109241	0.9998704121877456	-0.29438683459414106	0.7007652233620185	4.042154094598714	0.6991543791997662	0.04413931973558378	0.6892413000753247	1.3963382485337006	1.3963382485337006
IGHV3-64	0.3964103952237919	0.9998704121877456	1.3986296834342675	1.6492311561208142	4.725870813126987	7.818525371598481	0.16395788616186316	7.81460143904229	1.370910068385317	7.81460143904229
RP11-182B22.2	0.34353070390858886	0.9998704121877456	-0.6473250143995517	0.6834002702327927	5.264420751266218	0.595250712323228	0.07076647052453208	0.47572247265553547	1.2992055889146132	1.2992055889146132
VDAC1P4	0.5437215951510428	0.9998704121877456	-0.4559026816714741	0.7508342097059195	3.290248684771039	0.7522038735307022	0.322063884667084	0.44110295745915573	1.3316086793627402	1.3316086793627402
