row	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AC073135.3	2.5607382298965766	-3.4231086178014514	1.4008312207869866	-2.443626731761696	0.014540461738276953	NA
AC073135.4	0	NA	NA	NA	NA	NA
AC073135.7	1.900253747912144	-3.785845698912365	2.596972351130799	-1.457792069778446	0.14489786480276384	NA
AC073143.1	0	NA	NA	NA	NA	NA
AC073150.6	2.7090038953896562	-1.707560738259846	1.1280788086769689	-1.5136892255448924	0.13010467892567074	NA
AC073188.1	1.6511433222214285	-3.5721366222172595	3.43051141383469	-1.041283992763125	0.29774376359498533	NA
AC073264.10	1.095570684765563	1.2335765779149994	2.237479836668425	0.5513241092495282	0.5814115142000265	NA
AC073264.6	0.9150843586280335	-1.056778143636014	2.330242412226738	-0.45350566880557963	0.6501846622954491	NA
AC073310.4	0.2057335825775136	-0.7373257739419119	3.47306314760016	-0.21229840708522507	0.8318742380710097	NA
AC073325.2	0.19938948891460975	-0.7373257739419119	3.47306314760016	-0.21229840708522507	0.8318742380710097	NA
AC073333.1	309.40593410851085	0.057565289414170044	0.3728170550680819	0.1544062661072675	0.8772894132714264	0.9690893814985916
AC073342.1	0	NA	NA	NA	NA	NA
AC073343.1	35.878087541333606	0.07747046725607225	0.5598792812719506	0.13836994839329025	0.8899480462338079	0.9719490097156818
AC073387.2	0	NA	NA	NA	NA	NA
AC073410.1	1.7886171268266617	-0.562292237020069	1.1751298617820605	-0.4784937012555909	0.6322988563297485	NA
AC073415.2	0.39941687719405666	0.5253033697981904	2.0604886385599057	0.2549411629686683	0.7987685429717972	NA
AC073416.1	0.07256208788257881	-0.21271741101663283	3.47306314760016	-0.06124778098653856	0.9511618774069004	NA
AC073464.10	28.738205969279754	0.15411422271077024	0.7019960157295948	0.21953717579236837	0.8262316240143841	0.9541378912974338
AC073464.11	3.4178785314416755	-0.8201202287528648	1.8744760097472715	-0.43751972523960897	0.6617344740698319	NA
AC073464.4	1.152840966364941	-3.0559154450513146	2.713734585219698	-1.1260922352890728	0.2601264803099129	NA
AC073464.6	0	NA	NA	NA	NA	NA
AC073464.7	3.0784675991492834	0.33292609106183807	1.2997361284765994	0.2561489857576365	0.7978357981897889	NA
AC073465.1	0.3685431808653901	-1.3402734037623258	3.4700451534098797	-0.3862409117199212	0.6993182569445033	NA
AC073465.2	0.12970898606552067	-0.47502159247927256	3.47306314760016	-0.13677309403588186	0.8912101515959397	NA
AC073465.3	0.3953191806180309	1.1839136805131867	3.432634579403857	0.34489942145802077	0.7301699855617587	NA
AC073528.1	0	NA	NA	NA	NA	NA
